08-09-17-28-40-+8    (2017/05/27 S)  n°   36  |X.... | 593903| |   m10=|..XX.X...X...X...|  (....1 | 211..)|   m49=|......xXX|x.....xXx.|.......xXx|.........x|Xx........| 
01-39-40-41-43-+9    (2017/05/29 L)  n°   37  |.X... | 951901| |   m10=|X............3X..|  (1...3 | ...1.)|   m49=|Xx.......|..........|..........|........xX|XXxXx.....| 
01-09-27-36-41-+1    (2017/05/31 M)  n°   38  |X.... | 712997| |   m10=|X..X.....X..XX...|  (1...1 | 1.11.)|   m49=|Xx.....xX|x.........|......xXx.|.....xXx..|xXx.......| 
23-34-36-44-45-+3    (2017/06/03 S)  n°   39  |..X.. |1216514| |   m10=|.......X...XX.XX.|  (..111 | ...11)|   m49=|.........|..........|..xXx.....|...xXxXx..|...xXXx...| 
12-17-21-41-49-+7    (2017/06/05 L)  n°   40  |...X. |1804966| |   m10=|....XX.X.....X..X|  (.11.1 | .1..1)|   m49=|.........|.xXx..xXx.|xXx.......|..........|xXx.....xX| 
21-22-36-40-43-+5    (2017/06/07 M)  n°   41  |.X... | 939695| |   m10=|.......2....XXX..|  (..2.2 | ...1.)|   m49=|.........|..........|xXXx......|.....xXx.x|XxxXx.....| 
08-34-36-37-49-+10   (2017/06/10 S)  n°   42  |...X. |1778290| |   m10=|..X........X2...X|  (...1. | 1..21)|   m49=|......xXx|..........|..........|...xXxXXx.|........xX| 
04-05-07-27-29-+5    (2017/06/12 L)  n°   43  |X.... | 113260| |   m10=|.2X......2.......|  (1.... | 2.2..)|   m49=|..xXXxXx.|..........|......xXxX|x.........|..........| 
31-41-43-44-49-+5    (2017/06/14 M)  n°   44  |...X. |1848005| |   m10=|..........X..X2.X|  (...13 | ....1)|   m49=|.........|..........|..........|xXx.......|xXxXXx..xX| 
14-25-26-39-40-+3    (2017/06/17 S)  n°   45  |X.... | 652162| |   m10=|....X...2....2...|  (.1..1 | ..21.)|   m49=|.........|...xXx....|....xXXx..|........xX|Xx........| 
18-25-40-43-47-+9    (2017/06/19 L)  n°   46  |..X.. |1492117| |   m10=|......X.X....XXX.|  (....2 | .11.1)|   m49=|.........|.......xXx|....xXx...|.........x|XxxXx.xXx.| 
12-18-22-34-39-+6    (2017/06/21 M)  n°   47  |X.... | 544340| |   m10=|....X.XX...X.X...|  (.111. | .1.1.)|   m49=|.........|.xXx...xXx|.xXx......|...xXx..xX|x.........| 
23-24-27-35-48-+5    (2017/06/24 S)  n°   48  |...X. |1583191| |   m10=|.......XXX.X....X|  (..2.. | ..111)|   m49=|.........|..........|..xXXxxXx.|....xXx...|.......xXx| 
01-05-29-38-49-+9    (2017/06/26 L)  n°   49  |...X. |1781632| |   m10=|XX.......X..X...X|  (1.... | 1.111)|   m49=|Xx.xXx...|..........|........xX|x......xXx|........xX| 
09-29-30-37-48-+1    (2017/06/28 M)  n°   50  |...X. |1596885| |   m10=|...X.....XX.X...X|  (...1. | 1.111)|   m49=|.......xX|x.........|........xX|Xx....xXx.|.......xXx| 
16-21-26-33-47-+8    (2017/07/01 S)  n°   51  |..X.. |1409220| |   m10=|.....X.XX..X...X.|  (..11. | .11.1)|   m49=|.........|.....xXx..|xXx..xXx..|..xXx.....|......xXx.| 
02-08-10-28-48-+2    (2017/07/03 L)  n°   52  |...X. |1551596| |   m10=|X.XX.....X......X|  (11... | 1.1.1)|   m49=|xXx...xXx|Xx........|.......xXx|..........|.......xXx| 
08-17-18-29-34-+6    (2017/07/05 M)  n°   53  |X.... | 258619| |   m10=|..X..XX..X.X.....|  (...1. | 121..)|   m49=|......xXx|......xXXx|........xX|x..xXx....|..........| 
09-30-31-43-46-+10   (2017/07/08 S)  n°   54  |..X.. |1338164| |   m10=|...X......2...XX.|  (...21 | 1...1)|   m49=|.......xX|x.........|.........x|XXx.......|..xXxxXx..| 
17-18-21-23-43-+4    (2017/07/10 L)  n°   55  |.X... | 859276| |   m10=|.....XX2......X..|  (..2.1 | .2...)|   m49=|.........|......xXXx|xXxXx.....|..........|..xXx.....| 
03-16-18-31-43-+5    (2017/07/12 M)  n°   56  |.X... | 878861| |   m10=|.X...XX...X...X..|  (1..11 | .2...)|   m49=|.xXx.....|.....xXxXx|..........|xXx.......|..xXx.....| 
24-29-34-37-48-+2    (2017/07/15 S)  n°   57  |...X. |1598702| |   m10=|........XX.XX...X|  (..11. | ..111)|   m49=|.........|..........|...xXx..xX|x..xXxxXx.|.......xXx| 
05-16-33-40-41-+2    (2017/07/17 L)  n°   58  |X.... | 745329| |   m10=|.X...X.....X.2...|  (...12 | 11...)|   m49=|...xXx...|.....xXx..|..........|..xXx....x|XXx.......| 
06-08-09-16-26-+7    (2017/07/19 M)  n°   59  |X.... |  54578| |   m10=|..2X.X..X........|  (..... | 311..)|   m49=|....xXxXX|x....xXx..|.....xXx..|..........|..........| 
05-16-28-30-40-+9    (2017/07/22 S)  n°   60  |X.... | 602543| |   m10=|.X...X...XX..X...|  (...11 | 111..)|   m49=|...xXx...|.....xXx..|.......xXx|Xx.......x|Xx........| 
11-14-21-35-38-+3    (2017/07/24 L)  n°   61  |X.... | 483502| |   m10=|...XX..X...XX....|  (.21.. | ...2.)|   m49=|.........|xXxxXx....|xXx.......|....xXxxXx|..........| 
03-13-25-35-44-+2    (2017/07/26 M)  n°   62  |.X... |1011067| |   m10=|.X..X...X..X..X..|  (11..1 | ..11.)|   m49=|.xXx.....|..xXx.....|....xXx...|....xXx...|...xXx....| 
10-23-24-41-45-+1    (2017/07/29 S)  n°   63  |..X.. |1179410| |   m10=|...X...XX....X.X.|  (.12.1 | ....1)|   m49=|........x|Xx........|..xXXx....|..........|xXx.xXx...| 
25-31-37-45-47-+7    (2017/07/31 L)  n°   64  |..X.. |1514105| |   m10=|........X.X.X..2.|  (...1. | ..112)|   m49=|.........|..........|....xXx...|xXx...xXx.|....xXxXx.| 
09-12-30-32-34-+7    (2017/08/02 M)  n°   65  |X.... | 272519| |   m10=|...XX.....2X.....|  (.1.3. | 1....)|   m49=|.......xX|xxXx......|.........x|XxXxXx....|..........| 
03-13-25-30-37-+2    (2017/08/05 S)  n°   66  |X.... | 402836| |   m10=|.X..X...X.X.X....|  (11.1. | ..11.)|   m49=|.xXx.....|..xXx.....|....xXx..x|Xx....xXx.|..........| 
14-21-24-38-42-+4    (2017/08/07 L)  n°   67  |.X... | 817418| |   m10=|....X..XX...X.X..|  (.12.1 | ...1.)|   m49=|.........|...xXx....|xXxxXx....|.......xXx|.xXx......| 
31-32-36-38-49-+1    (2017/08/09 M)  n°   68  |...X. |1785390| |   m10=|..........2.2...X|  (...2. | ...21)|   m49=|.........|..........|..........|xXXx.xXxXx|........xX| 
05-13-15-36-41-+10   (2017/08/12 S)  n°   69  |X.... | 710803| |   m10=|.X..XX......XX...|  (.1..1 | 11.1.)|   m49=|...xXx...|..xXxXx...|..........|.....xXx..|xXx.......| 
02-09-13-15-39-+4    (2017/08/14 L)  n°   70  |X.... | 503193| |   m10=|X..XXX.......X...|  (11... | 11.1.)|   m49=|xXx....xX|x.xXxXx...|..........|........xX|x.........| 
19-25-29-31-41-+4    (2017/08/16 M)  n°   71  |X.... | 688984| |   m10=|......X.XXX..X...|  (...11 | .12..)|   m49=|.........|........xX|x...xXx.xX|xXx.......|xXx.......| 
07-08-21-39-40-+7    (2017/08/19 S)  n°   72  |X.... | 650740| |   m10=|..2....X.....2...|  (..1.1 | 2..1.)|   m49=|.....xXXx|..........|xXx.......|........xX|Xx........| 
08-14-27-36-43-+5    (2017/08/21 L)  n°   73  |.X... | 905714| |   m10=|..X.X....X..X.X..|  (.1..1 | 1.11.)|   m49=|......xXx|...xXx....|......xXx.|.....xXx..|..xXx.....| 
01-04-16-23-32-+7    (2017/08/23 M)  n°   74  |X.... | 177685| |   m10=|XX...X.X..X......|  (2.11. | .1...)|   m49=|XxxXx....|.....xXx..|..xXx.....|.xXx......|..........| 
10-32-35-38-40-+3    (2017/08/26 S)  n°   75  |X.... | 648261| |   m10=|...X......XXXX...|  (.1.11 | ...2.)|   m49=|........x|Xx........|..........|.xXxxXxxXx|Xx........| 
06-08-20-24-42-+6    (2017/08/28 L)  n°   76  |X.... | 759249| |   m10=|..2...X.X.....X..|  (..2.1 | 2....)|   m49=|....xXxXx|.........x|Xx.xXx....|..........|.xXx......| 
07-12-26-29-47-+9    (2017/08/30 M)  n°   77  |..X.. |1393591| |   m10=|..X.X...XX.....X.|  (.1... | 1.2.1)|   m49=|.....xXx.|.xXx......|.....xXxxX|x.........|......xXx.| 
01-10-14-18-40-+7    (2017/09/02 S)  n°   78  |X.... | 578460| |   m10=|X..XX.X......X...|  (12..1 | .1...)|   m49=|Xx......x|Xx.xXx.xXx|..........|.........x|Xx........| 
01-06-27-33-35-+9    (2017/09/04 L)  n°   79  |X.... | 316827| |   m10=|X.X......X.2.....|  (1..1. | 1.11.)|   m49=|Xx..xXx..|..........|......xXx.|..xXxXx...|..........| 
19-28-39-46-49-+4    (2017/09/06 M)  n°   80  |...X. |1870105| |   m10=|......X..X...X.XX|  (..... | .1112)|   m49=|.........|........xX|x......xXx|........xX|x....xXxxX| 
13-15-19-39-44-+1    (2017/09/09 S)  n°   81  |.X... |1037333| |   m10=|....XXX......XX..|  (.1..1 | .2.1.)|   m49=|.........|..xXxXx.xX|x.........|........xX|x..xXx....| 
12-23-42-45-48-+9    (2017/09/11 L)  n°   82  |...X. |1680593| |   m10=|....X..X......XXX|  (.11.1 | ....2)|   m49=|.........|.xXx......|..xXx.....|..........|.xXxxXxxXx| 
04-18-25-33-45-+1    (2017/09/13 M)  n°   83  |.X... |1124132| |   m10=|.X....X.X..X...X.|  (1..1. | .11.1)|   m49=|..xXx....|.......xXx|....xXx...|..xXx.....|....xXx...| 
04-16-18-37-46-+5    (2017/09/16 S)  n°   84  |..X.. |1281453| |   m10=|.X...XX.....X..X.|  (1.... | .2.11)|   m49=|..xXx....|.....xXxXx|..........|......xXx.|.....xXx..| 
12-25-29-34-37-+9    (2017/09/18 L)  n°   85  |X.... | 421476| |   m10=|....X...XX.XX....|  (.1.1. | ..21.)|   m49=|.........|.xXx......|....xXx.xX|x..xXxxXx.|..........| 
04-06-17-22-37-+6    (2017/09/20 M)  n°   86  |X.... | 383551| |   m10=|.XX..X.X....X....|  (1.1.. | 11.1.)|   m49=|..xXxXx..|......xXx.|.xXx......|......xXx.|..........| 
15-19-22-33-37-+4    (2017/09/23 S)  n°   87  |X.... | 414450| |   m10=|.....XXX...XX....|  (..11. | .2.1.)|   m49=|.........|....xXx.xX|xxXx......|..xXx.xXx.|..........| 
16-17-33-34-37-+6    (2017/09/25 L)  n°   88  |X.... | 423008| |   m10=|.....2.....2X....|  (...2. | .2.1.)|   m49=|.........|.....xXXx.|..........|..xXXxxXx.|..........| 
10-13-16-35-42-+4    (2017/09/27 M)  n°   89  |.X... | 796305| |   m10=|...XXX.....X..X..|  (.2..1 | .1.1.)|   m49=|........x|XxxXxxXx..|..........|....xXx...|.xXx......| 
03-16-27-38-44-+7    (2017/09/30 S)  n°   90  |.X... |1031351| |   m10=|.X...X...X..X.X..|  (1...1 | .111.)|   m49=|.xXx.....|.....xXx..|......xXx.|.......xXx|...xXx....| 
01-11-12-20-28-+7    (2017/10/02 L)  n°   91  |X.... |  84817| |   m10=|X..XX.X..X.......|  (121.. | ..1..)|   m49=|Xx.......|xXXx.....x|Xx.....xXx|..........|..........| 
01-20-30-34-45-+9    (2017/10/04 M)  n°   92  |.X... |1130754| |   m10=|X.....X...XX...X.|  (1.12. | ....1)|   m49=|Xx.......|.........x|Xx.......x|Xx.xXx....|....xXx...| 
08-37-41-44-46-+3    (2017/10/07 S)  n°   93  |..X.. |1355687| |   m10=|..X.........XXXX.|  (....2 | 1..11)|   m49=|......xXx|..........|..........|......xXx.|xXxxXxXx..| 
03-06-15-30-47-+9    (2017/10/09 L)  n°   94  |..X.. |1394882| |   m10=|.XX..X....X....X.|  (1..1. | 11..1)|   m49=|.xXxxXx..|....xXx...|.........x|Xx........|......xXx.| 
06-15-29-44-48-+4    (2017/10/11 M)  n°   95  |...X. |1660722| |   m10=|..X..X...X....X.X|  (....1 | 111.1)|   m49=|....xXx..|....xXx...|........xX|x.........|...xXx.xXx| 
18-20-38-43-47-+3    (2017/10/14 S)  n°   96  |..X.. |1490643| |   m10=|......2.....X.XX.|  (..1.1 | .1.11)|   m49=|.........|.......xXx|Xx........|.......xXx|..xXx.xXx.| 
05-30-32-39-48-+8    (2017/10/16 L)  n°   97  |...X. |1612660| |   m10=|.X........2..X..X|  (...2. | 1..11)|   m49=|...xXx...|..........|.........x|XxXx....xX|x......xXx| 
05-12-13-24-25-+7    (2017/10/18 M)  n°   98  |X.... |  51639| |   m10=|.X..2...2........|  (.21.. | 1.1..)|   m49=|...xXx...|.xXXx.....|...xXXx...|..........|..........| 
02-06-20-21-42-+8    (2017/10/21 S)  n°   99  |X.... | 755224| |   m10=|X.X...XX......X..|  (1.2.1 | 1....)|   m49=|xXx.xXx..|.........x|XXx.......|..........|.xXx......| 
12-21-25-44-47-+3    (2017/10/23 L)  n°  100  |..X.. |1496390| |   m10=|....X..XX.....XX.|  (.11.1 | ..1.1)|   m49=|.........|.xXx......|xXx.xXx...|..........|...xXxxXx.| 
03-09-19-41-43-+8    (2017/10/25 M)  n°  101  |.X... | 942905| |   m10=|.X.X..X......XX..|  (1...2 | 11...)|   m49=|.xXx...xX|x.......xX|x.........|..........|xXxXx.....| 
05-12-22-29-47-+8    (2017/10/28 S)  n°  102  |..X.. |1392619| |   m10=|.X..X..X.X.....X.|  (.11.. | 1.1.1)|   m49=|...xXx...|.xXx......|.xXx....xX|x.........|......xXx.| 
12-32-34-42-44-+5    (2017/10/30 L)  n°  103  |.X... |1069801| |   m10=|....X.....XX..2..|  (.1.22 | .....)|   m49=|.........|.xXx......|..........|.xXxXx....|.xXxXx....| 
